id,degree,title,degreetitle,level
1,BSc/BS,Computer Science,BSc/BS Computer Science,6
2,BSc/BS,Computer Science,BSc/BS Computer Science,6
3,BSc/BS,Computer Science,BSc/BS Computer Science,6
4,BSc/BS,Computer Science,BSc/BS Computer Science,6
5,BSc/BS,Computer Science,BSc/BS Computer Science,6
6,MSc/MS,Computer Science,MSc/MS Computer Science,7
7,BA,Economics,BA Economics,6
8,BSc/BS,Computer Science,BSc/BS Computer Science,6
9,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
9,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
10,BSc/BS,Computer Science,BSc/BS Computer Science,6
11,MSc/MS,Electrical Engineering,MSc/MS Electrical Engineering,7
12,BSc/BS,Computer Science,BSc/BS Computer Science,6
13,BSc/BS,Business Administration,BSc/BS Business Administration,6
14,BSc/BS,Informatics,BSc/BS Informatics,6
15,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
16,MSc/MS,Computer Science,MSc/MS Computer Science,7
17,BSc/BS,Computer Science,BSc/BS Computer Science,6
18,BSc/BS,Computer Science,BSc/BS Computer Science,6
19,MCA,/,MCA /,7
20,BSc/BS,Computer Science,BSc/BS Computer Science,6
21,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
22,BSc/BS,Information Technology,BSc/BS Information Technology,6
22,MSc/MS,Computer Science,MSc/MS Computer Science,7
23,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
23,MSc/MS,Information Technology,MSc/MS Information Technology,7
24,BSc/BS,Computer Science,BSc/BS Computer Science,6
25,BSc/BS,Informatics,BSc/BS Informatics,6
26,BSc/BS,Computer Science,BSc/BS Computer Science,6
27,BSc/BS,Computer Science,BSc/BS Computer Science,6
28,BSc/BS,Computer Science,BSc/BS Computer Science,6
29,BTech,Information Technology,BTech Information Technology,6
30,MSc/MS,Computer Science,MSc/MS Computer Science,7
31,MSc/MS,Computer Science,MSc/MS Computer Science,7
31,BSc/BS,Computer Science,BSc/BS Computer Science,6
32,BSc/BS,Computer Science,BSc/BS Computer Science,6
33,MSc/MS,Computer Science,MSc/MS Computer Science,7
33,BSc/BS,Computer Science,BSc/BS Computer Science,6
34,BSc/BS,Computer Science,BSc/BS Computer Science,6
35,BSc/BS,Computer Science,BSc/BS Computer Science,6
36,MSc/MS,Computer Engineering,MSc/MS Computer Engineering,7
36,MSc/MS,Computer Engineering,MSc/MS Computer Engineering,7
37,MCA,/,MCA /,7
38,BSc/BS,Computer Science,BSc/BS Computer Science,6
39,MSc/MS,Computer Science,MSc/MS Computer Science,7
40,BSc/BS,Electrical Engineering,BSc/BS Electrical Engineering,6
41,BSc/BS,Computer Science,BSc/BS Computer Science,6
42,MCA,/,MCA /,7
43,BSc Hons,Computer Science,BSc Hons  Computer Science,6
44,BSc/BS,Computer Science,BSc/BS Computer Science,6
45,BSc/BS,Commerce,BSc/BS Commerce,6
45,MCA,/,MCA /,7
46,BSc/BS,Computer Science,BSc/BS Computer Science,6
47,BSc/BS,Computer Science,BSc/BS Computer Science,6
48,BE/Beng,Computer Science,BE/Beng Computer Science,6
49,MSc/MS,Computer Science,MSc/MS Computer Science,7
50,BCA,/,BCA /,6
51,MSc/MS,Computer Science,MSc/MS Computer Science,7
52,BSc Hons,Computer Science,BSc Hons  Computer Science,6
53,BSc/BS,Computer Science,BSc/BS Computer Science,6
54,BSc/BS,Computer Science,BSc/BS Computer Science,6
55,MSc/MS,Computer Science,MSc/MS Computer Science,7
56,MSc/MS,Computer Science,MSc/MS Computer Science,7
57,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
58,BSc/BS,Computer Science,BSc/BS Computer Science,6
