id,seniority,job_title
1,/,Software developer
1,CTO,CTO
1,Founder,(Co-)Founder/Owner/Partner
1,Lead,Software engineer
1,/,application engineer
1,Junior,Software developer
1,/,Web developer
1,Founder,(Co-)Founder/Owner/Partner
2,/,Software engineer
2,/,Teacher(-assistant)/Trainer
2,Founder,(Co-)Founder/Owner/Partner
2,Founder,(Co-)Founder/Owner/Partner
3,/,iOS developer
4,/,contractor
4,Senior,Software engineer
5,/,Developer
6,Senior,Software developer
6,/,Software developer
7,/,Software engineer
7,/,Software engineer
7,/,Software engineer
8,/,Freelancer/independent developer
8,/,JavaScript developer
8,/,Web developer
9,/,Software engineer
9,/,Software engineer
9,/,Consultant
9,/,Software engineer
10,/,Academic
10,/,Developer
11,/,Software engineer
12,/,PHP developer
12,/,Web developer
12,Senior,Software engineer
12,/,Wordpress/drupal developer
13,/,Consultant
13,/,Software engineer
13,/,Software engineer
14,Lead,Android developer
14,/,Android developer
14,/,iOS developer
15,/,Android developer
15,/,Android developer
15,Lead,Android developer
16,/,System analyst
17,/,Software developer
17,/,Software developer
18,Senior,Software engineer
18,/,Teacher(-assistant)/Trainer
19,Associate,Consultant
19,/,Developer
19,/,Software developer
20,Senior,Software developer
21,/,Consultant
21,Manager,IT manager
21,/,Web developer
21,/,Web developer
21,Manager,IT manager
21,/,Front-end developer/engineer
22,Manager,IT manager
23,/,Web developer
23,/,Wordpress/drupal developer
23,Manager,IT manager
24,/,Application developer
24,Junior,Software engineer
24,Junior,Software engineer
24,/,Application developer
24,Junior,Software engineer
24,Junior,Software engineer
24,/,Application developer
25,CTO,CTO
25,/,System analyst
25,/,Freelancer/independent developer
26,/,Software engineer
26,/,Software engineer
26,/,Software engineer
27,Senior,Software engineer
28,/,Software engineer
29,Senior,Software engineer
30,/,Software engineer
31,/,Front-end developer/engineer
31,/,Application developer
32,/,Software developer
32,/,Software developer
32,/,Software developer
33,/,Software developer
34,/,Software engineer
34,/,Consultant
35,/,Web developer
35,/,Web developer
35,/,Web developer
35,/,Web developer
35,/,Web developer
35,/,ruby developer
36,/,Software engineer
36,/,Software developer
37,/,Java developer
37,Principal,Software engineer
37,Senior,Software engineer
38,Senior,Software developer
39,Senior,Software developer
39,/,Software developer
39,/,Web developer
39,Junior,Software developer
40,/,application engineer
41,VP,VP of engineering
42,Senior,Software engineer
42,/,Software engineer
43,/,iOS developer
43,/,iOS developer
44,Senior,Software engineer
45,/,Software engineer
45,Founder,(Co-)Founder/Owner/Partner
45,/,Software engineer
46,/,Software developer
47,/,Software engineer
47,Senior,Software engineer
47,Senior,Software developer
47,/,Software developer
